x,y,elev,ndvi,bio,sm,tem,pre
87.5369,29.9439,4655,0.2141,1050.81,2713,1.575,3053
87.8857,29.9443,5561,0.1393,-9999,2810,-5.158333333333333,2012
84.275,29.9709,5333,0.293,668.304,2747,-5.6,1975
84.7277,29.9732,5648,0.2186,615.342,2234,-8,1730
83.6656,29.9752,5141,0.157,604.148,2642,-3.6833333333333336,2435
84.9479,29.984,5765,0.0932,-9999,2656,-10.633333333333333,1605
89.4434,29.989,5246,0.1624,570.928,2582,-4.016666666666667,3045
87.2851,29.9917,5388,0.0814,-9999,2519,-3.275,1980
87.5453,29.9974,5104,0.0915,-9999,2739,-1.5833333333333337,2375
86.6483,29.9998,5393,0.1335,693.45,2365,-3.6916666666666664,1850
87.7839,30.0091,5465,0.067,-9999,2563,-4.975,1975
84.835,30.0282,5352,0.1763,660.347,2409,-6,1718
89.0971,30.0724,4846,0.3567,872.497,2908,0.075,3414
89.0524,30.085,5116,0.1999,-9999,2735,-0.13333333333333333,3376
89.1561,30.1661,4956,0.2864,1161.32,2852,-2.041666666666667,3187
83.9685,30.1901,4937,0.1834,666.554,2380,-3,2032
88.0957,30.2009,5157,0.2417,614.107,2790,-2.025,2648
87.7284,30.2019,4723,0.2269,681.082,2693,0.8833333333333334,3000
89.91,30.2189,5356,0.2218,837.914,2458,-5.191666666666666,3556
87.0814,30.2223,5188,0.1163,703.915,2455,-2.808333333333333,2020
89.1715,30.229,4984,0.4397,788.815,2806,-0.9583333333333334,3551
83.8596,30.2826,5653,0.0859,445.734,2457,-9.466666666666669,1818
87.3411,30.3023,5467,0.1158,-9999,2418,-5.691666666666666,1985
89.174,30.3355,5206,0.321,651.468,2844,-2.716666666666667,3351
89.0386,30.3387,5118,0.4664,923.128,2874,-1.575,3403
87.5127,30.3492,5300,0.1865,-9999,2665,-3.1333333333333333,2342
86.201,30.3837,5255,0.1839,700.497,2419,-3.6,1708
89.2576,30.4029,5029,0.5783,941.305,2818,-1.3166666666666669,3610
83.579,30.4031,5026,0.1994,660.262,2406,-3.725,2003
85.7714,30.4051,5228,0.1434,643.743,2682,-2.583333333333333,1680
90.7658,30.4051,5410,0.1222,756.416,2561,-4.65,4199
85.6194,30.4129,4919,0.1431,668.044,2668,-0.4083333333333333,1780
89.7343,30.419,4978,0.4525,939.817,2784,-1.6166666666666667,4036
85.6262,30.43,4855,0.119,691.639,2601,-0.25833333333333336,1781
87.5553,30.4346,5445,0.2135,647.764,2758,-4.925,2273
82.946,30.4423,5063,0.1325,631.61,2311,-4.65,2299
82.2149,30.4824,5574,0.1491,515.916,2328,-7.75,2652
86.5234,30.4916,5883,-0.0409,683.137,2464,-13.208333333333334,1449
81.2625,30.4954,5436,0.0876,609.01,2439,-7.416666666666667,3972
87.966,30.4982,5277,0.2544,717.847,2705,-4.291666666666666,2719
81.7059,30.5038,4836,0.1772,605.363,2208,-2.841666666666667,3707
89.7156,30.5187,5326,0.4471,910.719,2887,-3.8166666666666664,3912
83.2835,30.5319,5904,-0.0194,512.562,2229,-11.3,1779
90.0749,30.551,4965,0.3888,985.026,2733,-1.05,4286
82.8894,30.5553,5483,0.2533,760.323,2273,-8.933333333333334,2041
88.8688,30.5776,4832,0.2148,797.476,2739,0.775,3839
85.535,30.581,4773,0.2,650.06,2504,0.325,1725
85.6183,30.5832,4827,0.1113,609.42,2371,0.225,1733
85.9225,30.591,4987,0.1034,-9999,2385,-0.5666666666666667,1760
90.9024,30.5953,5335,0.1606,-9999,2544,-7.291666666666667,4382
87.313,30.5962,5064,0.2874,755.731,2775,-1.325,2401
85.8115,30.6074,5039,0.2,715.35,2451,-1.975,1612
87.0656,30.6337,4807,0.262,662.092,2538,0.8,2443
90.0967,30.6795,4847,0.4144,904.49,2683,-1.0916666666666666,4419
86.5429,30.6928,5168,0.2178,920.51,2631,-2.625,1873
86.6617,30.7109,4605,0.0957,671.84,2205,1.5416666666666663,2304
81.6919,30.7166,4777,0.2064,573.228,2357,-2.3,3139
85.5244,30.7226,5460,0.2191,679.564,2523,-5.241666666666666,1457
91.0073,30.7236,4800,0.4997,997.027,2854,-2.1416666666666666,4477
82.3141,30.7325,5662,0.0851,783.496,2343,-9.591666666666669,2118
82.4964,30.7381,5668,0.0419,514.309,2486,-8.583333333333332,1994
88.6843,30.7437,4948,0.2796,740.887,2643,0.55,3812
87.4894,30.7471,4980,0.2646,788.29,2533,-0.25,2709
82.5106,30.757,5688,0.0697,576.202,2078,-7.658333333333333,1998
85.8523,30.7581,4942,0.1678,695.699,2347,0.4416666666666667,1751
88.0268,30.7744,4860,0.2905,710.869,2709,0.5583333333333333,3336
80.8262,30.7811,4695,0.059,-9999,2328,-2.5166666666666666,3633
84.7811,30.7921,4640,0.1491,-9999,2652,0.4166666666666667,1597
84.9195,30.7959,4657,0.0073,-9999,2574,0.5583333333333333,1570
80.2162,30.8015,5237,0.1067,622.247,2285,-6.8583333333333325,4047
87.4692,30.8291,5101,0.2014,732.342,2582,-1.6666666666666667,2586
85.3759,30.8436,4949,0.1432,602.113,2753,0.15,1587
87.1568,30.869,4720,0.1338,618.32,2380,1.2416666666666667,2619
91.2196,30.9182,4857,0.4111,1155.06,2787,-3.1416666666666666,4534
83.3277,30.9264,5016,0.1381,566.604,2167,-3.3083333333333336,1518
91.0348,30.9297,4964,0.2563,857.288,2718,-1.825,4554
87.9682,30.9404,4824,0.2393,1071.11,2481,1.025,3362
89.045,30.9621,5002,0.2172,935.241,2536,0.4416666666666667,4226
80.2045,30.9715,4516,0.0915,648.886,2561,-1.1916666666666669,4740
85.3534,30.9765,4616,-0.0414,570.959,2913,1.2583333333333333,1575
87.7184,30.9785,4977,0.1905,706.868,2517,-0.1,3029
84.3993,31.0106,5502,0.1514,578.357,2216,-6.125,1241
88.0124,31.0317,5175,0.2436,714.257,2652,-3.25,3010
81.2486,31.0373,5521,0.1022,-9999,2071,-7.433333333333333,2030
85.2309,31.0487,4652,0.1301,595.048,2348,0.7166666666666667,1475
91.0103,31.0658,5010,0.3189,1050.59,2740,-2.625,4716
80.0512,31.0949,4502,0.1466,659.467,2319,-1.0166666666666666,4476
90.8998,31.1107,4976,0.3748,1110.53,2670,-2.5083333333333333,4806
83.3351,31.1152,4856,0.1814,597.296,2187,-1.95,1377
88.9097,31.124,4708,0.1938,917.021,2765,1.55,4345
81.543,31.1302,5544,0.0251,-9999,2089,-10.058333333333334,1992
81.0755,31.1324,5353,0.17,591.472,2312,-6.141666666666667,1955
86.4395,31.149,4751,0.1507,695.889,2264,0.6416666666666667,1991
89.8372,31.1492,4748,0.2414,1022.21,2658,-0.09166666666666666,4730
81.2304,31.1529,5758,0.0488,-9999,1874,-11.066666666666666,1700
91.2206,31.1556,4691,0.2611,1356.28,2699,-0.4333333333333333,4787
89.321,31.1565,4843,0.1963,937.495,2471,-0.21666666666666665,4448
80.1845,31.1693,4111,0.0966,637.127,2292,2.525,4865
85.8493,31.1724,4746,0.1062,631.72,2336,0.11666666666666668,1588
83.2788,31.1782,5043,0.1285,594.528,2268,-1.7916666666666667,1293
90.3616,31.1913,4911,0.2761,970.906,2526,-1.7083333333333333,4443
84.4282,31.2043,4903,0.1397,584.268,2223,-0.9333333333333332,1256
79.0597,31.2281,4686,0.1409,820.491,2294,-2.075,5765
81.727,31.2587,5418,0.2045,726.246,2043,-7.8,2020
88.9085,31.2899,4790,0.13,951.929,2352,-0.5416666666666667,4253
81.0165,31.2996,5765,0.1045,-9999,2048,-10.65,1312
87.3677,31.3088,5216,0.2569,805.472,2571,-2.783333333333333,2606
88.8502,31.3413,4752,0.2482,943.037,2629,0.6083333333333333,4233
82.81,31.3627,4754,0.2437,638.135,2451,-1.0833333333333337,1204
85.7745,31.3678,4995,0.1209,563.214,2299,-1.3833333333333333,1424
79.9551,31.3765,3833,0.0859,715.407,2063,4.491666666666666,5708
85.045,31.3801,4706,0.0748,538.525,2223,0.1,1274
90.3847,31.4277,4671,0.1545,961.101,2291,0.29166666666666663,4557
82.6615,31.4302,4801,0.0865,637.784,2216,-1.4,1176
79.2505,31.4302,4549,0.1321,742.002,2311,-1.7916666666666667,4326
80.743,31.4354,5610,0.0827,-9999,2387,-10.466666666666669,1133
81.2173,31.4385,5562,0.1455,646.521,2194,-8.391666666666667,1237
87.7743,31.4388,4971,0.1502,730.993,2229,-1.5,3155
85.6793,31.4467,4907,0.1355,583.984,2042,-1.5916666666666666,1379
85.9655,31.4564,4979,0.1849,695.479,2356,-2.1333333333333333,1507
86.7117,31.4595,4812,0.2215,804.99,2359,-1.6416666666666668,2086
84.432,31.4656,4974,0.1347,539.662,2188,-1.9666666666666668,1079
82.0495,31.4658,5259,0.1553,602.06,2232,-5.308333333333334,1195
85.8546,31.4886,4963,0.1421,608.588,2373,-2.283333333333333,1422
90.7177,31.4888,4924,0.3122,988.086,2644,-2.425,4763
79.6759,31.489,3617,0.0651,705.019,2056,5.508333333333334,6687
79.9472,31.4993,4349,0.133,612.094,2094,0.9583333333333334,3527
88.0367,31.5084,5345,0.1873,755.823,2409,-4.191666666666666,3296
87.1865,31.5123,4843,0.1376,693.408,2181,-0.19166666666666668,2512
83.8457,31.5234,4959,0.138,524.823,2346,-2.7,983
86.1585,31.53,4831,0.1663,685.149,2357,-1.175,1618
90.1571,31.5495,4778,0.1556,1043.8,2491,-0.5583333333333333,4496
