x,y,elev,slope,aspect,ndvi,bio,sm,tem,pre,lst
86.2299,29.2971,5138,2.66512,22.9158,0.1514,653.944,2807,-2.15,2434,0
89.2485,29.309,4109,5.22231,358.668,0.2023,620.941,2358,3.8916666666666666,3602,31.136000000000003
85.7702,29.324,4898,10.6434,187.376,0.1237,660.475,2764,-0.6833333333333333,2604,0
90.5048,29.3248,4427,15.0859,125.982,0.4367,1356.68,2738,3.1333333333333333,3605,0
85.6004,29.3394,4947,7.61622,103.075,0.1512,662.2,2752,-1.55,2481,0
90.8664,29.3539,3785,12.9011,20.7098,0.2425,810.263,2232,6.675,4055,30.494
86.8669,29.4048,4701,1.64316,183.748,0.2075,716.079,2643,0.6666666666666667,2905,11.962
89.8253,29.4532,5436,6.53809,87.4996,0.3216,456.259,2807,-6.841666666666667,2534,0
83.5525,29.4571,4996,2.03345,96.8748,0.1271,564.688,2270,-3.025,3577,29.672000000000004
89.1839,29.4652,4534,9.58255,261.57,0.454,901.959,2781,2.375,3361,1.09
86.2839,29.4754,5057,8.95422,349.902,0.1911,639.913,2697,-2.416666666666667,2250,2.9859999999999998
88.5674,29.5042,4455,5.26803,209.658,0.2009,886.033,2875,2.6416666666666666,3367,24.408
88.3916,29.5581,5474,3.08708,258.638,0.174,-9999,2531,-4.341666666666667,2129,28.948
86.8117,29.6248,5463,6.88829,192.915,0.1083,-9999,2543,-6.4833333333333325,1804,28.754
87.6693,29.6324,4184,4.80642,348.857,0.166,793.636,2829,4.341666666666667,4218,0
85.7793,29.6561,5337,0.910368,167.276,0.2014,768.171,2266,-4.433333333333334,1998,0
83.109,29.6766,5190,8.44104,329.698,0.2151,537.461,2411,-6.9,3495,12.118
86.6469,29.6903,5576,4.9265,101.799,0.2467,670.245,2622,-6.7666666666666675,1779,3.4579999999999997
88.3175,29.6994,4760,6.79424,115.678,0.2306,868.037,2738,0.4333333333333333,2956,26.76
87.3399,29.7752,5313,18.7025,157.829,0.1267,491.764,2348,-3.725,1943,28.444
90.8805,29.7846,5276,2.24702,12.8852,0.162,581.77,2606,-3.191666666666667,3591,21.880000000000003
90.3401,29.7992,4468,1.38257,13.1726,0.4449,974.441,2713,2.475,3783,0
85.5936,29.8158,5377,4.94321,108.802,0.2059,582.228,2795,-6.441666666666667,1813,28.458
89.8967,29.8182,4968,7.3828,113.721,0.4154,609.893,2687,-2.7,3227,28.32
87.2393,29.8653,4870,7.84033,233.193,0.1529,657.87,2784,-0.15833333333333333,2486,0
83.7512,29.8969,5085,6.49435,244.504,0.1121,637.794,2356,-2.6,2563,0
87.5369,29.9439,4655,4.04189,55.5228,0.2141,1050.81,2713,1.575,3053,0
87.8857,29.9443,5561,1.98773,327.054,0.1393,-9999,2810,-5.158333333333333,2012,28.407999999999998
84.275,29.9709,5333,5.75414,244.897,0.293,668.304,2747,-5.6,1975,0
84.7277,29.9732,5648,5.09423,133.068,0.2186,615.342,2234,-8,1730,28.68
83.6656,29.9752,5141,4.55049,267.299,0.157,604.148,2642,-3.6833333333333336,2435,0
84.9479,29.984,5765,3.58911,214.608,0.0932,-9999,2656,-10.633333333333333,1605,27.036
89.4434,29.989,5246,7.15357,90.5707,0.1624,570.928,2582,-4.016666666666667,3045,27.389999999999997
87.2851,29.9917,5388,5.1223,133.983,0.0814,-9999,2519,-3.275,1980,28.601999999999997
87.5453,29.9974,5104,16.156,146.475,0.0915,-9999,2739,-1.5833333333333335,2375,0
86.6483,29.9998,5393,6.96681,111.105,0.1335,693.45,2365,-3.6916666666666664,1850,2.668
87.7839,30.0091,5465,4.74504,147.171,0.067,-9999,2563,-4.975,1975,27.512
84.835,30.0282,5352,1.62582,328.69,0.1763,660.347,2409,-6,1718,29.968
89.0971,30.0724,4846,11.8778,77.5414,0.3567,872.497,2908,0.075,3414,28.494
89.0524,30.085,5116,13.7649,190.496,0.1999,-9999,2735,-0.13333333333333333,3376,23.116
89.1561,30.1661,4956,10.1196,23.441,0.2864,1161.32,2852,-2.041666666666667,3187,0
83.9685,30.1901,4937,6.28016,216.688,0.1834,666.554,2380,-3,2032,0
88.0957,30.2009,5157,1.76672,49.2728,0.2417,614.107,2790,-2.025,2648,0
87.7284,30.2019,4723,2.51852,38.0749,0.2269,681.082,2693,0.8833333333333334,3000,0
89.91,30.2189,5356,1.67298,305.595,0.2218,837.914,2458,-5.191666666666666,3556,27.242
87.0814,30.2223,5188,1.51859,218.491,0.1163,703.915,2455,-2.808333333333333,2020,0
89.1715,30.229,4984,2.9641,242.074,0.4397,788.815,2806,-0.9583333333333334,3551,29.232
83.8596,30.2826,5653,8.01653,274.633,0.0859,445.734,2457,-9.466666666666667,1818,0
87.3411,30.3023,5467,8.96176,221.079,0.1158,-9999,2418,-5.691666666666666,1985,28.506
89.174,30.3355,5206,3.95016,332.275,0.321,651.468,2844,-2.716666666666667,3351,29.116000000000003
89.0386,30.3387,5118,2.02631,1.01219,0.4664,923.128,2874,-1.575,3403,28.426
87.5127,30.3492,5300,6.04416,195.053,0.1865,-9999,2665,-3.1333333333333333,2342,28.887999999999998
86.201,30.3837,5255,3.73787,39.7214,0.1839,700.497,2419,-3.6,1708,0
89.2576,30.4029,5029,0.688783,334.767,0.5783,941.305,2818,-1.3166666666666667,3610,28.645999999999997
83.579,30.4031,5026,6.87195,304.349,0.1994,660.262,2406,-3.725,2003,0
85.7714,30.4051,5228,4.58983,139.041,0.1434,643.743,2682,-2.583333333333333,1680,0
90.7658,30.4051,5410,9.86957,136.106,0.1222,756.416,2561,-4.65,4199,12.898
