x,y,z
2693.44,2519.025,2248.068493150685
2639.8571428571427,2379.25641025641,2216.943661971831
2693.44,2519.025,2248.068493150685
2742.24,2576.0508474576272,2392.3947368421054
2624.3703703703704,2520.9523809523807,2269.470588235294
2742.24,2576.0508474576272,2392.3947368421054
2534.814814814815,2363.6976744186045,2197.0985915492956
2742.24,2576.0508474576272,2392.3947368421054
2742.24,2576.0508474576272,2392.3947368421054
2712.88,2510.4583333333335,2238.044117647059
2534.814814814815,2363.6976744186045,2197.0985915492956
2645.9,2432.5777777777776,2237.858974358974
2670.0454545454545,2444.31914893617,2256.3658536585367
2680.6315789473683,2402.6521739130435,2218.15
2622.1,2366.133333333333,2181.34375
2624.9310344827586,2435.7708333333335,2275.805194805195
2645.9,2432.5777777777776,2237.858974358974
2712.7419354838707,2522.808510638298,2196.8615384615387
2624.9310344827586,2435.7708333333335,2275.805194805195
2617.846153846154,2376.121951219512,2170.3098591549297
2650.9523809523807,2432.5777777777776,2237.858974358974
2639.8571428571427,2379.25641025641,2216.943661971831
2646.7619047619046,2402.6521739130435,2218.15
2633.793103448276,2472.6,2238.3815789473683
2665.75,2594.372549019608,2367.2235294117645
2735.529411764706,2547.8518518518517,2378.7012987012986
2626.1875,2370.5227272727275,2204.7763157894738
2672.3888888888887,2427.243902439024,2230.842105263158
2590.8076923076924,2471.4166666666665,2209.9583333333335
2703.0857142857144,2449.6363636363635,2217.7297297297296
2478.7916666666665,2369.0238095238096,2179.3880597014927
2665.75,2594.372549019608,2367.2235294117645
2634.7428571428572,2441.840909090909,2244.4142857142856
2714.9545454545455,2533.0204081632655,2329.7078651685392
2665.75,2594.372549019608,2367.2235294117645
2714.9545454545455,2533.0204081632655,2329.7078651685392
2696.4074074074074,2522.5263157894738,2363.2183908045977
2567.137931034483,2376.121951219512,2170.3098591549297
2662.9142857142856,2474.081632653061,2191.8823529411766
2413.3571428571427,2253.230769230769,2124.688311688312
2400.5185185185187,2253.403846153846,2117.220779220779
2665.6785714285716,2530.3207547169814,2341.3793103448274
2506.689655172414,2375.2045454545455,2179.3880597014927
2680.3333333333335,2530.685185185185,2331.057471264368
2628.1714285714284,2441.840909090909,2244.4142857142856
2365.7586206896553,2178.0555555555557,2173.6911764705883
2741.6052631578946,2531.537037037037,2368.767441860465
2636.185185185185,2436.688888888889,2244.5733333333333
2365.7586206896553,2178.0555555555557,2173.6911764705883
2741.6052631578946,2531.537037037037,2368.767441860465
2563.4,2391.1666666666665,2185.6338028169016
2563.4,2391.1666666666665,2185.6338028169016
2715.9444444444443,2494.1923076923076,2360.2705882352943
2609.3548387096776,2423.4285714285716,2181.3947368421054
2649.6,2507.285714285714,2328.1052631578946
2359.4074074074074,2167.06,2131.809523809524
2626.1290322580644,2483.0576923076924,2129.3048780487807
2700.1162790697676,2448.85,2264.336956521739
2541.3636363636365,2255.8695652173915,2175.391891891892
2612,2465.04,2129.3048780487807
2541.3636363636365,2255.8695652173915,2175.391891891892
2648.342105263158,2442.0833333333335,2216.258823529412
2605.6666666666665,2372.782608695652,2124.769230769231
2541.3636363636365,2255.8695652173915,2175.391891891892
2576.153846153846,2360.1666666666665,2194.0555555555557
2639.714285714286,2513.94,2273.1473684210528
2433.0416666666665,2236.5185185185187,2162.0394736842104
2636.9523809523807,2442.0833333333335,2216.258823529412
2433.0416666666665,2236.5185185185187,2162.0394736842104
2712.285714285714,2425.483870967742,2230.5057471264367
2537.4347826086955,2295.9298245614036,2070.060606060606
2641.5,2436.5283018867926,2293.451612903226
2328.8125,2026.9166666666667,2066.7924528301887
2623.46875,2513.0196078431372,2254.8229166666665
2525.08,2258.4222222222224,2186.027397260274
2609.9411764705883,2439.0425531914893,2170.478260869565
2619,2468.1272727272726,2109.125
2514.96,2271.9074074074074,2102.968253968254
2579.5882352941176,2372.0208333333335,2107.176470588235
2457.7741935483873,2223.6666666666665,2080.972602739726
