x,y,z
-1742.0391052631576,-1580.0781836734695,-4160.629941747571
-1050.9038387096775,-1034.3440000000003,-5366.126144578313
-1742.0391052631576,-1580.0781836734695,-4160.629941747571
-2239.8223947368424,-1335.1438196721315,-2938.684571428572
-1577.016138888889,-1606.003641509434,-4465.943252427183
-2239.8223947368424,-1335.1438196721315,-2938.684571428572
-1812.033,-1059.5758983050848,-5155.183558823531
-2239.8223947368424,-1335.1438196721315,-2938.684571428572
-2239.8223947368424,-1335.1438196721315,-2938.684571428572
-1424.1562941176471,-3350.301923076923,-3445.3432209302323
-1812.033,-1059.5758983050848,-5155.183558823531
-1152.8185151515156,-1861.7419824561402,-4767.629193548386
-1285.8376097560981,-1449.849365384615,-4155.04208910891
-840.0006153846157,-1221.7043703703703,-4147.28054255319
-2145.7934999999998,-696.9006779661017,-5300.000569767441
-1013.2178571428574,-1532.3670181818184,-4354.238868686867
-1152.8185151515156,-1861.7419824561402,-4767.629193548386
-1873.5210833333326,-3022.5648666666666,-3654.6592765957444
-1013.2178571428574,-1532.3670181818184,-4354.238868686867
-1527.5837647058827,-464.68740322580635,-5392.4824578313255
-1152.8185151515156,-1861.7419824561402,-4767.629193548386
-1050.9038387096775,-1034.3440000000003,-5366.126144578313
-784.3635555555556,-1221.7043703703703,-4147.28054255319
-845.3567619047617,-1425.9664074074071,-6217.076102272727
-1945.085962962963,-2668.6721206896555,-4481.263105882354
-4126.0377,-1409.9648135593225,-3000.918484848485
-668.7030416666666,-1069.8731864406782,-6588.042835164836
-380.2267037037036,-1343.451107142857,-4820.642021739129
-1876.058619047619,-2917.754849056604,-6106.2919875000025
-1013.9665428571432,-3010.278291666667,-3688.8479780219777
-1224.5858214285715,-1147.0729607843139,-6259.80515625
-1945.085962962963,-2668.6721206896555,-4481.263105882354
-528.5014375,-2431.2851,-5018.223568421052
-1989.4764594594592,-2334.740603773585,-3080.125500000001
-1945.085962962963,-2668.6721206896555,-4481.263105882354
-1989.4764594594592,-2334.740603773585,-3080.125500000001
-1107.3905151515153,-2602.4555892857147,-3534.6002261904755
-1825.8405333333333,-464.68740322580635,-5392.4824578313255
-1071.310176470588,-2965.968333333333,-4369.789829787234
-245.04952777777783,-2131.918298507463,-5692.810964285714
-542.970388888889,-1801.561507936508,-5692.810964285714
-809.1267499999999,-3036.391827586207,-4171.718202380954
-438.8861724137931,-1147.0729607843139,-6259.80515625
-984.8723714285716,-2673.6112758620693,-3845.9601807228923
-607.6471333333333,-2431.2851,-5018.223568421052
-2005.3016000000007,-3154.8716031746035,-5497.850591836735
-2290.622459459459,-1853.144676923077,-3265.305961904762
-79.47155882352932,-3133.7157272727277,-4551.092049382716
-2005.3016000000007,-3154.8716031746035,-5497.850591836735
-2290.622459459459,-1853.144676923077,-3265.305961904762
-102.72685714285709,-1098.135310344827,-7159.436191780823
-102.72685714285709,-1098.135310344827,-7159.436191780823
-2504.6630526315794,-2023.5811967213117,-3339.501291262137
-382.8284285714285,-2347.12575,-4995.756752577318
-1182.703097560976,-2225.5671090909095,-2763.5129696969693
-2516.5030270270277,-2804.5037543859657,-5484.501934782608
-1259.078096774193,-2614.5257333333334,-4402.296314606742
-2912.1875945945953,-2027.0771538461536,-3422.561271929824
-1160.2317931034481,-626.9366382978723,-7075.815524390243
-1036.3253823529406,-2614.5257333333334,-4402.296314606742
-1160.2317931034481,-626.9366382978723,-7075.815524390243
-4529.687524999999,-1412.5081568627456,-3893.310160377357
-901.9249687500001,-2465.747859375,-5064.555093749999
-1160.2317931034481,-626.9366382978723,-7075.815524390243
-206.28362500000006,-1390.2035,-6917.4348266666675
-872.6540697674419,-1235.7529999999997,-3993.109436170212
-873.3032352941178,-1584.1770000000004,-5625.03419047619
-4529.687524999999,-1412.5081568627456,-3893.310160377357
-873.3032352941178,-1584.1770000000004,-5625.03419047619
-3054.761266666667,-1167.592403846154,-3653.035029411764
-1610.1194848484847,-1665.915873015873,-5437.4418681318675
-2017.929648648649,-2604.7483396226417,-3434.060701923079
-1202.9368275862068,-3855.560392156863,-5921.958705882353
-782.256,-2056.7684788732395,-4929.199000000001
-126.3239230769231,-1296.132553191489,-6574.2882714285715
-324.8692857142859,-1948.2491833333333,-5137.165461538461
-1404.7427058823523,-2596.7441641791042,-4508.023494382022
