tem,pre,sm,elev,npp,X,Y
-6.579352855682373,158,60.900001525878906,5436,45.70000076293945,83.94756330096928,30.587635424269703
-7.6687774658203125,49,1.2000000476837158,5130,19.200000762939453,82.60009037479,34.899548788043404
-6.989037990570068,242,44.5,4841,36.29999923706055,91.85273780122108,35.708032543750974
-7.166712284088135,176,10.800000190734863,5314,21.899999618530273,86.28318303968004,34.27072808915974
-7.407644748687744,207,76.4000015258789,5436,35.599998474121094,82.4204273179661,30.85713000950556
-6.675215244293213,131,3.5999999046325684,5130,23.600000381469727,85.92385692603223,34.98938031645536
-2.239811420440674,211,2.4000000953674316,4827,40.099998474121094,86.91200373856371,33.46224433345217
-6.15501594543457,94,4.800000190734863,5224,30.5,84.39672094302905,34.001233503923885
-7.946513652801514,240,58.70000076293945,4927,31,89.42728653409837,36.157190185810734
-9.084169387817383,328,110.19999694824219,5226,35.900001525878906,89.69678111933422,34.5402226743956
-4.220617294311523,86,12.600000381469727,5465,43.29999923706055,81.34244897702267,32.294434464096796
-6.97379207611084,126,3.5999999046325684,5089,25.799999237060547,85.65436234079638,34.899548788043404
-4.819728851318359,194,1.2000000476837158,5029,32.099998474121094,86.91200373856371,34.001233503923885
-9.434663772583008,92,13.199999809265137,5597,32.400001525878906,84.03739482938124,34.001233503923885
-5.979790687561035,174,45.29999923706055,5360,26.700000762939453,81.43228050543462,31.485950708389225
-3.5114502906799316,77,1.2000000476837158,4944,34.20000076293945,83.94756330096928,33.73173891868803
-9.867714881896973,338,151.8000030517578,5356,27,90.23577028980594,34.27072808915974
-5.400815963745117,91,1.2000000476837158,5077,26.399999618530273,84.57638399985295,34.18089656074779
-5.526582717895508,121,2.4000000953674316,5281,35.400001525878906,85.65436234079638,33.192749748216315
-7.088775634765625,277,88.19999694824219,5399,37.29999923706055,88.07981360791908,33.641907390276074
-8.10230541229248,268,103.5,5066,25.600000381469727,91.0442540455135,35.708032543750974
-3.0076005458831787,124,12.5,4846,36.70000076293945,81.52211203384658,31.845276822037032
-7.5661139488220215,78,6,5233,36.5,83.40857413049757,33.552075861864125
-7.322660446166992,265,29.5,4987,32.29999923706055,90.32560181821789,35.528369486927076
-6.151828765869141,248,27,5099,34.79999923706055,88.25947666474299,34.27072808915974
-0.6658602952957153,72,1.2000000476837158,4522,23.799999237060547,84.21705788620514,33.37241280504022
-7.26777458190918,57,2.4000000953674316,5368,36,82.2407642611422,33.37241280504022
-6.25595235824585,235,25.200000762939453,5051,39.79999923706055,88.34930819315494,34.809717259631455
-8.256250381469727,167,23,4953,24.799999237060547,87.98998207950713,36.6063478278705
-3.772040367126465,300,118.19999694824219,4935,39.900001525878906,81.97126967590634,30.767298481093604
-6.016210556030273,132,55.70000076293945,5415,34.900001525878906,83.94756330096928,30.767298481093604
-5.919528961181641,173,24.200000762939453,5247,30.899999618530273,82.15093273273024,31.216456123153367
-6.478468894958496,119,18.799999237060547,5496,31.100000381469727,82.15093273273024,31.575782236801174
-9.760477066040039,363,183,5420,25.899999618530273,90.41543334662984,34.091065032335834
-4.2748847007751465,246,12.600000381469727,5181,39.20000076293945,87.45099290903542,33.641907390276074
-7.221266746520996,237,29.5,5198,29.899999618530273,88.43913972156689,35.618201015339025
-9.88835620880127,166,236.89999389648438,5807,21.299999237060547,82.51025884637805,31.036793066329466
-3.369159460067749,228,28.899999618530273,4500,38.099998474121094,93.73919989787207,35.43853795851512
-5.868037223815918,227,14,5047,30.5,87.98998207950713,34.809717259631455
-8.49525260925293,186,25.200000762939453,5318,19.399999618530273,86.37301456809199,34.5402226743956
-4.500434398651123,173,1.2000000476837158,4933,31.799999237060547,86.46284609650394,33.911401975511936
-4.773698806762695,64,6,5253,41,80.89329133496291,32.56392904933265
-5.176000595092773,212,16.200000762939453,4898,34.599998474121094,87.98998207950713,35.07921184486731
-5.971611022949219,61,2.4000000953674316,5181,31.700000762939453,82.68992190320196,33.73173891868803
-4.164460182189941,74,1.2000000476837158,4996,17.799999237060547,83.85773177255733,34.27072808915974
-6.525132179260254,62,2.4000000953674316,5239,31.5,82.60009037479,33.73173891868803
-2.5559840202331543,102,1.2000000476837158,4811,34.29999923706055,85.11537317032466,33.102918219804366
-3.3240954875946045,183,43,4926,22.899999618530273,81.25261744861072,31.575782236801174
-6.505860805511475,202,12.100000381469727,4933,23,87.98998207950713,35.528369486927076
-4.067648887634277,126,15.600000381469727,5076,39.70000076293945,81.43228050543462,31.845276822037032
-7.33306360244751,197,140.3000030517578,5481,34.29999923706055,82.51025884637805,30.85713000950556
-8.78512191772461,137,7.199999809265137,5259,23.5,85.65436234079638,34.719885731219506
-2.3014628887176514,56,2.4000000953674316,4762,40.79999923706055,81.34244897702267,32.653760577744606
-4.840664863586426,152,2.4000000953674316,5054,23.100000381469727,86.01368845444418,34.091065032335834
-9.512481689453125,173,236,5783,32.400001525878906,82.60009037479,30.94696153791751
-3.6149566173553467,74,2.4000000953674316,4877,23.899999618530273,83.85773177255733,33.82157044709998
-3.6338791847229004,132,16.799999237060547,5122,32.70000076293945,81.16278592019877,31.935108350448985
-7.395613193511963,284,31.299999237060547,5088,25.299999237060547,89.33745500568641,35.528369486927076
-7.02069091796875,231,10.100000381469727,4911,29.799999237060547,88.9781288920386,36.067358657398785
-1.704796314239502,69,1.2000000476837158,4681,34.599998474121094,83.94756330096928,33.46224433345217
-7.184479713439941,290,25.600000381469727,5070,45.70000076293945,89.42728653409837,34.899548788043404
-4.650895118713379,204,3.5999999046325684,4799,32.099998474121094,87.72048749427128,34.98938031645536
-1.6633517742156982,72,1.2000000476837158,4710,43.20000076293945,83.85773177255733,33.102918219804366
-5.1879191398620605,212,8.399999618530273,4987,30.899999618530273,87.36116138062347,34.809717259631455
-7.6800336837768555,252,28.100000381469727,5268,34.79999923706055,88.16964513633104,34.091065032335834
-2.2516252994537354,113,9.100000381469727,4827,33.599998474121094,81.16278592019877,32.11477140727289
-8.563873291015625,273,208.60000610351563,5069,25.799999237060547,91.13408557392546,35.79786407216293
