x,y,z
579.572125,-1487.8884000000003,-162.50054545454554
-1995.7555000000002,-3295.9748750000003,-1184.6212941176473
606.1527500000001,-1487.8884000000003,-162.50054545454554
-4397.775250000001,-1230.3815625,-1725.3442352941179
608.2318750000001,-1406.5685,-1076.9424166666668
-4310.8315,22.278214285714302,-2596.255368421053
-4666.264375,-393.4599999999999,-2210.563454545455
-4258.61375,22.278214285714302,-2596.255368421053
-2914.35025,22.278214285714302,-2596.255368421053
-718.6009999999999,-297.68018181818184,-1353.3323
-4654.350125,-1460.3270000000002,-2210.563454545455
-566.4171250000002,-645.7024375000002,-1642.5500434782612
628.9551250000002,-374.6175,-1708.145076923077
-640.8881250000002,693.9219166666667,-1961.6240625
-4671.3315,-846.7064285714285,-1434.4922000000001
610.1688750000001,-905.1087692307693,-1752.4416923076924
-1897.6332499999999,-645.7024375000002,-1642.5500434782612
605.80775,-1274.6765454545455,-1014.7874166666667
603.432875,-905.1087692307693,-1752.4416923076924
-1983.8405000000007,-2376.5767142857144,-1772.2482307692312
-1953.4832499999998,-119.12584615384607,-2100.211739130435
-3308.366,-2231.023,-1580.921
-615.1175000000002,-210.15775,-1756.0166923076924
-1978.9355,-1987.936125,-1082.6239166666667
-627.6018749999998,-2508.8543,-654.2678636363636
-3074.1605,-1229.5354666666667,-419.61826315789483
-1965.598375,-2459.175176470588,-1082.6239166666667
-1977.533,-255.6590909090909,-1545.371
-1956.1937500000004,-2265.1622222222218,50.97164705882353
-707.080625,693.3847857142857,-2530.2830769230777
-3328.738375,-3336.0761250000005,-1441.3883
689.456125,-2508.8543,-654.2678636363636
731.3037499999998,-1735.6260769230769,-1087.5997222222222
-3304.23025,-1668.5601764705887,253.2905263157895
-658.464125,-2569.6531000000004,-624.3112272727271
-3219.2122499999996,-1084.080588235294,-446.7544705882352
-1992.43875,-32.593933333333354,-552.9425
-1997.0566250000002,-2529.4831,-1972.1205833333343
-612.362125,-78.61499999999992,-2117.005
-5993.575500000001,-772.3376,-2260.1502272727275
-4669.279,-2187.7486666666664,-1765.0124545454548
-2012.771375,-243.21936363636368,-367.38921052631576
-1989.017375,-1783.1770000000001,-3326.681875
-680.036625,-655.8538125,-539.2088125
751.874625,-2162.557466666667,-556.454411764706
-6018.333250000001,-1740.2707222222223,-689.14725
-1832.588,-738.831,-873.2423684210524
721.47675,-579.9512941176471,-1021.9008888888889
-6018.333250000001,-1740.2707222222223,-689.14725
-1828.3883749999998,104.47723076923079,-1452.0110000000002
-1986.8803750000002,-1785.5514615384616,-3765.802416666666
-2005.5858749999998,-1785.5514615384616,-3765.802416666666
-3132.4192500000004,-772.751,-794.63545
-526.6558749999999,-2124.6312666666668,-1715.4195555555557
-2039.8143750000002,58.31086666666666,-1008.4650333333334
-4688.734,-2510.8197647058823,-588.2735
-580.0807499999999,-1751.461230769231,-1650.683391304348
-1828.3144999999997,-1366.7475,-673.4680714285714
-641.75825,-977.2863846153846,-3454.6031666666663
-1864.680625,-727.5720666666667,-1898.2119599999996
