neighbors,x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_upper,y_xmap_x_lower,x,y
500,0.357628,2.1497346809956702e-13,0.3961392249804906,0.3191167750195094,0.284048,4.912772251268959e-31,0.3207719455959786,0.24732405440402142,elev,ndvi
500,0.279096,4.020594555620916e-33,0.3153813114274932,0.24281068857250682,0.384296,5.7458062708445594e-9,0.4240316985688047,0.3445603014311953,elev,bio
500,0.470132,0.07700536264721901,0.511198236893652,0.429065763106348,0.33532,1.9704305711345282e-17,0.3736777517766459,0.2969622482233541,elev,sm
500,0.135328,6.255739591893268e-188,0.1597929777032472,0.1108630222967528,0.235812,1.403058628985418e-51,0.2701859456433553,0.20143805435664466,elev,tem
500,0.430488,3.7279171936636886e-4,0.4708886986442543,0.39008730135574565,0.323464,6.610985609428833e-20,0.3616605044606354,0.28526749553936454,elev,pre
500,0.2411,9.052896648148668e-51,0.2750649069367141,0.2071350930632859,0.403372,1.0936947183705747e-6,0.4433668647374109,0.36337713526258913,ndvi,bio
500,0.251272,7.804648128475884e-47,0.28530686583146353,0.21723713416853646,0.217364,4.764824802670276e-67,0.24946015199264088,0.18526784800735913,ndvi,sm
500,0.145324,2.6191704501257127e-155,0.1715332353212254,0.1191147646787746,0.307482,1.2961039180610735e-24,0.3445697499090842,0.2703942500909158,ndvi,tem
500,0.107768,1.1903193730034328e-248,0.13060834613760083,0.08492765386239917,0.082148,0,0.10167628908227422,0.06261971091772578,ndvi,pre
500,0.355088,3.1692984579384763e-13,0.3945739666691665,0.31560203333083353,0.153844,1.0196380042781048e-128,0.18198574358376945,0.12570225641623056,bio,sm
500,0.246388,9.577401914975172e-50,0.2800148549569094,0.21276114504309057,0.263128,3.6117712449186335e-39,0.29873016822456683,0.22752583177543312,bio,tem
500,0.41118,7.858703620329325e-6,0.4514922796939257,0.3708677203060743,0.224208,7.239600825085547e-60,0.257417875078272,0.19099812492172796,bio,pre
500,0.125284,1.8690712486107517e-203,0.1494328331254369,0.1011351668745631,0.319376,6.851078560859871e-21,0.3574315567140185,0.2813204432859815,sm,tem
500,0.16246,1.8089610094335876e-124,0.19037435551857654,0.13454564448142345,0.146072,2.215253463670634e-146,0.1730241798511723,0.11911982014882773,sm,pre
500,0.340404,1.8691711932151842e-16,0.378799973518028,0.30200802648197195,0.148836,7.73754408570429e-151,0.1751733898168761,0.12249861018312387,tem,pre
