libsizes,x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_upper,y_xmap_x_lower,x,y
100,0.006248525785391721,0.7996652623623273,0.054460275439161,-0.04199229032273615,0.08361196358487068,6.694915689371417e-4,0.13131062142595984,0.035527063211356784,elev,ndvi
200,0.02383609386074025,0.3329357193331508,0.07198150753345461,-0.02442014034927147,0.11790468936311478,1.5447714218908004e-6,0.16519350668961127,0.07007499714435964,elev,ndvi
300,0.05122226059370964,0.03736902105652273,0.09920534964201863,0.003001513874670663,0.14472403866996858,3.4427176665019488e-9,0.19161477232918747,0.09717413064577193,elev,ndvi
400,0.08238430745228724,8.032917321858513e-4,0.13009556758490037,0.03429239798085481,0.17061252821757458,2.9412028368369647e-12,0.21705469241612926,0.12339974030089199,elev,ndvi
500,0.11890517367404817,1.257083007244475e-6,0.16618036097015632,0.07108465262839331,0.1917884581374662,3.774758283725532e-15,0.23781690727048593,0.14490056960738568,elev,ndvi
600,0.15453332581078502,2.7158586490827474e-10,0.201261513812797,0.10710339066876888,0.21721264727375167,0,0.26268894075720584,0.17077346875517915,elev,ndvi
700,0.19233997694656504,3.1086244689504383e-15,0.2383570896086436,0.14546114257773793,0.24421434996117233,0,0.28903821673461644,0.19832202707893087,elev,ndvi
800,0.23067595273430083,0,0.27583542389939725,0.18450037207495285,0.26849905647219263,0,0.3126782794604114,0.22316065038131372,elev,ndvi
900,0.26892202479777766,0,0.31308953563239433,0.22359378859338466,0.29245708895312544,0,0.33594683203909176,0.24772297771650023,elev,ndvi
1000,0.3067411157568852,0,0.34979457029183264,0.26239470607998494,0.31423917963617537,0,0.3570560925538057,0.27010449986147006,elev,ndvi
1100,0.3473403163427342,0,0.389051252783963,0.3042081230115707,0.33533751921205257,0,0.3774611108838847,0.29182902446501,elev,ndvi
1200,0.3827003516179921,0,0.42311903292038355,0.340761604667153,0.34902717896025615,0,0.3906790635758175,0.3059490389956068,elev,ndvi
1300,0.40953101707131506,0,0.44889312282947424,0.368582706050418,0.36167876192752957,0,0.4028794561067016,0.31901521526207777,elev,ndvi
1400,0.4312500117307292,0,0.4697089802447899,0.3911572942049391,0.3735242129207988,0,0.4142892086941755,0.3312635610771784,elev,ndvi
