x_xmap_y_mean,x_xmap_y_sig,y_xmap_x_mean,y_xmap_x_sig,x,y,eta
0.2065986394557823,6.101270598773862e-32,0.8355328798185941,9.58618161904484e-44,elev,popd,0
0.16179138321995465,2.4421889452520952e-51,0.8350340136054422,1.6290732934369913e-43,elev,popd,0.1
0.16310657596371883,9.000932955221528e-52,0.834920634920635,1.8774962716819267e-43,elev,popd,0.2
0.1773922902494331,1.3196140890682673e-44,0.8345804988662131,2.8623665568132927e-43,elev,popd,0.30000000000000004
0.20029478458049887,4.4718057424891435e-35,0.83437641723356,3.6074091672731985e-43,elev,popd,0.4
0.23374149659863946,1.3491471774305129e-24,0.8342857142857143,3.858239197177781e-43,elev,popd,0.5
0.2700226757369614,5.972862839187062e-17,0.8341269841269842,4.648367131542115e-43,elev,popd,0.6000000000000001
0.3033560090702948,6.1261187916528294e-12,0.8342176870748299,4.0996312350508816e-43,elev,popd,0.7000000000000001
0.32612244897959186,2.8567061639168173e-9,0.8343990929705215,3.343599832972647e-43,elev,popd,0.8
0.2247392290249433,3.4713346313094174e-26,0.8348526077097506,1.9897661206841418e-43,elev,popd,0.9
0.36664399092970523,9.670292056756943e-6,0.8353061224489796,1.1988231582928239e-43,elev,popd,1
