H1,H0
0,0
0.050593969251499116,0.0022271714922048997
0.08825588311148368,0.0044543429844098
0.12049917628544239,0.006681514476614699
0.14604485428410544,0.008908685968819599
0.16881148252830758,0.011135857461024499
0.18938066139278822,0.013363028953229397
0.2085629470559461,0.015590200445434299
0.22312664150784584,0.017817371937639197
0.23750085529466886,0.0200445434298441
0.2509855626259926,0.022271714922048998
0.2636939255656768,0.0244988864142539
0.27711810435121526,0.026726057906458794
0.2897527803655947,0.028953229398663696
0.3006610769870455,0.031180400890868598
0.31047459643250214,0.0334075723830735
0.3203118009610888,0.035634743875278395
0.3299253130378516,0.0378619153674833
0.33833614922655064,0.0400890868596882
0.34654697804655926,0.0423162583518931
0.35452885106293663,0.044543429844097995
0.36132120657077077,0.0467706013363029
0.36898464680278104,0.0489977728285078
0.3761928071034199,0.0512249443207127
0.38378782376192955,0.05345211581291759
0.39046175385408866,0.05567928730512249
0.3980462438089832,0.05790645879732739
0.4054938866168767,0.060133630289532294
0.4112993636607659,0.062360801781737196
0.4176995994589265,0.0645879732739421
0.4236313969462038,0.066815144766147
0.42874211155148,0.06904231625835189
0.43503181696168003,0.07126948775055679
0.439639881469317,0.07349665924276169
0.44475322775049864,0.0757238307349666
0.4508350307642903,0.0779510022271715
0.4559852205081224,0.0801781737193764
0.4612512039917256,0.0824053452115813
0.466446132225926,0.0846325167037862
0.472193712399932,0.08685968819599109
0.47692283399914914,0.08908685968819599
0.48212828893696236,0.09131403118040089
0.4863337070313114,0.0935412026726058
0.49094966656666394,0.0957683741648107
0.4955972062128623,0.0979955456570156
0.4998526261493869,0.1002227171492205
0.5035106556557365,0.1024498886414254
0.5077976557031052,0.1046770601336303
0.5117083260962259,0.10690423162583518
0.5156900517387487,0.10913140311804008
0.5195559836415022,0.11135857461024498
0.5235008658213725,0.11358574610244988
0.5277273373229542,0.11581291759465479
0.5317564331317454,0.11804008908685969
0.5357592121815047,0.12026726057906459
0.5399777886553719,0.12249443207126949
0.5436226597822019,0.1247216035634744
0.5474991183885749,0.1269487750556793
0.5507860815924795,0.12917594654788422
0.5541677851289254,0.1314031180400891
0.5580942455774697,0.13363028953229403
0.561396998836801,0.1358574610244989
0.565107661861229,0.1380846325167038
0.5684341002036918,0.1403118040089087
0.5714236840304654,0.14253897550111358
0.5748501260572761,0.1447661469933185
0.5782818314358938,0.14699331848552338
0.5811450948192809,0.1492204899777283
0.5842162605990717,0.1514476614699332
0.5870505755475214,0.1536748329621381
0.5902270083634693,0.155902004454343
0.5934587063733958,0.1581291759465479
0.5966246124857255,0.1603563474387528
0.5991247045943826,0.1625835189309577
0.6017590121741341,0.1648106904231626
0.604835441305734,0.1670378619153675
0.6077355481517748,0.1692650334075724
0.6103198538893528,0.17149220489977732
0.613154168837799,0.17371937639198218
0.6159358502681714,0.1759465478841871
0.618825430410599,0.17817371937639198
