x,y,z
2579,2743.9523809523807,2746.925925925926
2635.75,2557.157894736842,2526.7619047619046
2694.375,2741.2380952380954,2704.6071428571427
2570.5,2681.214285714286,2607.1176470588234
2442.75,2393.6,2481.4761904761904
2660.625,2655.625,2660.764705882353
2676.625,2644.4615384615386,2651.684210526316
2442.5,2440.076923076923,2493.793103448276
2583.75,2488.5,2428.3125
2407,2393.6,2481.4761904761904
2528,2555.8571428571427,2462.1428571428573
2763.5,2754.4,2671.8888888888887
2585.625,2663.4,2599.3529411764707
2606,2694.125,2632.875
2562.875,2594.375,2619.3
2719.75,2639.2,2597
2588.25,2483.8333333333335,2430.2083333333335
2781.25,2642.2,2664.1666666666665
2802.875,2642.2,2664.1666666666665
2788.25,2642.2,2664.1666666666665
2435,2436,2478.032258064516
2708.875,2612.4375,2591.823529411765
2682,2626.8,2588.6666666666665
2735.875,2691.4117647058824,2693.5862068965516
2600.375,2575.8823529411766,2608.809523809524
2794,2642.2,2664.1666666666665
2404.75,2358.0714285714284,2414.681818181818
2664.625,2602.25,2575
2789.25,2642.2,2664.1666666666665
2785.5,2642.2,2664.1666666666665
2635.5,2586.5,2554.785714285714
2528.625,2410.8,2552.2608695652175
2830.625,2631.285714285714,2601.3636363636365
2351.875,2371.6153846153848,2420.4
2468.25,2574.8,2449.1111111111113
2708.125,2656.9375,2701.733333333333
2483,2647,2470.6
2726.375,2708.818181818182,2627.7272727272725
2491.375,2647,2470.6
2638.75,2585.153846153846,2528.6363636363635
2288.75,2355.6153846153848,2262.1666666666665
2311.875,2198.7272727272725,2295.904761904762
2431.125,2560.85,2581.6923076923076
2195.875,2270.0833333333335,2206.7368421052633
2649,2585.0588235294117,2592.6666666666665
2273.875,2209.25,2278.318181818182
2713.5,2708.818181818182,2627.7272727272725
2338.875,2402,2327.85
2637.625,2665.714285714286,2645.2608695652175
2293.5,2355.6153846153848,2262.1666666666665
2763.5,2662.875,2601.3529411764707
2569,2497.6666666666665,2420.3333333333335
2520.125,2647,2470.6
2505.375,2574.8,2449.1111111111113
