direction,no noise,10% noise,20% noise,30% noise,40% noise,50% noise,60% noise,70% noise,80% noise,90% noise,100% noise
popd -> elev,0.2065986394557823,0.16179138321995465,0.16310657596371883,0.1773922902494331,0.20029478458049887,0.23374149659863944,0.2700226757369614,0.3033560090702948,0.32612244897959186,0.2247392290249433,0.3666439909297052
elev -> popd,0.8355328798185941,0.8350340136054422,0.834920634920635,0.8345804988662131,0.83437641723356,0.8342857142857143,0.8341269841269842,0.8342176870748299,0.8343990929705215,0.8348526077097506,0.8353061224489796
