libsizes,x_xmap_y_mean,x_xmap_y_sig,x_xmap_y_upper,x_xmap_y_lower,y_xmap_x_mean,y_xmap_x_sig,y_xmap_x_upper,y_xmap_x_lower,x,y
100,0.014923175733796699,0.5444322987878276,0.06310591883562071,-0.033328973231041045,0.0860220717241133,4.6492103111628325e-4,0.1336955722510272,0.037951358482546646,elev,ndvi
200,0.035791820961197575,0.14591407301401316,0.08387519932137165,-0.012457844968647764,0.1363502975155127,2.640555063493366e-8,0.18337261463158608,0.08870545634491148,elev,ndvi
300,0.0698217367747537,0.0045225650461095945,0.11765371424173368,0.021666534574711876,0.16956356741022,4.006572851267265e-12,0.21602513176496674,0.1223358364401718,elev,ndvi
400,0.11271696543246917,4.378973179397505e-6,0.16007493845984708,0.06484128971821293,0.20451521645726467,0,0.2502748191102098,0.15784393164574745,elev,ndvi
500,0.15833306263112495,9.709499870780292e-11,0.2049958527586786,0.11095214416299723,0.23821350019359588,0,0.2831882257054879,0.19219337127306824,elev,ndvi
600,0.20293780062836095,0,0.24873154764187608,0.1562387977488253,0.2727249167864563,0,0.3167863802918787,0.22748892190538203,elev,ndvi
700,0.24995711266456863,0,0.29463347588654587,0.20419046143542902,0.3079252252604757,0,0.3509416687506405,0.2636118760560237,elev,ndvi
800,0.29707561468245347,0,0.34042634809516314,0.25246461742591414,0.34490069235659687,0,0.3866965716087756,0.3016908339286739,elev,ndvi
900,0.3461268949076916,0,0.3878801483710182,0.30295599717056926,0.37789183718067026,0,0.41849295268986614,0.33578333655501413,elev,ndvi
1000,0.3957854845592228,0,0.435697057907511,0.3543205968105814,0.410444376817944,0,0.4497693638152661,0.3695310746762448,elev,ndvi
1100,0.44634154537033655,0,0.4841478283497427,0.4068718006800272,0.44028242293564274,0,0.4783532264020635,0.40055975191317983,elev,ndvi
1200,0.4936185079598037,0,0.5292472438722411,0.45625202500986367,0.4635009777774071,0,0.5005401645603915,0.4247679950703061,elev,ndvi
1300,0.5314917480120861,0,0.5652314064480036,0.4959768977670698,0.48435786403498204,0,0.5204289665963907,0.44656123419518695,elev,ndvi
1400,0.5646017997788533,0,0.5965851233166118,0.5308279270674257,0.5024730334624546,0,0.5376716103360383,0.46552612986497505,elev,ndvi
1500,0.5917029304385958,0,0.6221762084662606,0.5594393466132398,0.518659851296359,0,0.553053916035288,0.48250097449568147,elev,ndvi
1600,0.6139542498190897,0,0.6431391356721119,0.5829883047974944,0.5344158630857605,0,0.5680043406224409,0.4990501679732981,elev,ndvi
100,0.18992372867032645,7.105427357601002e-15,0.23599029642287978,0.14300545020088118,0.20830401876043347,0,0.25398066013106013,0.16170031801186668,elev,bio
200,0.22603421966733017,0,0.2713048289604888,0.1797657229113726,0.23554678184942918,0,0.28058747298079695,0.18947100875583345,elev,bio
300,0.24611943174518044,0,0.2908947057777629,0.20026843404365594,0.2545075173421604,0,0.2990648286654151,0.2088427818518946,elev,bio
400,0.2594289749192662,0,0.3038553642139389,0.21387679331524276,0.2765979011554738,0,0.32054998731395534,0.23145733611309097,elev,bio
500,0.273233334525451,0,0.31728051888038683,0.22800978133140765,0.29885766159444155,0,0.342154232504594,0.25429474058650975,elev,bio
600,0.2885194292536554,0,0.3321261347799253,0.24368204530410958,0.3207662223424594,0,0.3633730159623132,0.27682046375343755,elev,bio
700,0.3091998591163199,0,0.3521763178217053,0.26492225555346527,0.3495145177299664,0,0.39114929363258827,0.3064520475591325,elev,bio
800,0.32910359735396344,0,0.37143629911424375,0.28540540800322295,0.3765444671801626,0,0.417196323698343,0.3343888225167242,elev,bio
900,0.3448167401649223,0,0.38661553276339455,0.30160421985160507,0.40345218563802876,0,0.44305940484886697,0.36227304505513835,elev,bio
1000,0.35522725637704283,0,0.39665985807232274,0.3123502663394619,0.42908431947809345,0,0.46763526128516675,0.38890411952792897,elev,bio
1100,0.3659345586811155,0,0.4069801909449727,0.32341412312028656,0.45543515654761807,0,0.49283822488585155,0.41635208543098057,elev,bio
1200,0.3752534234233959,0,0.41595374446072925,0.3330527787210133,0.48181600407813774,0,0.5180071809036606,0.44390285767819637,elev,bio
1300,0.38223915176728507,0,0.42267542225630494,0.3402840212134456,0.507161244541952,0,0.5421292210934892,0.47043978345809767,elev,bio
1400,0.3885311926375752,0,0.4287258273940606,0.34680144695181536,0.5294864493731846,0,0.5633293437666835,0.49386982575267424,elev,bio
1500,0.3937238743685908,0,0.4337163783493473,0.3521831706644342,0.5458459593834137,0,0.5788361734962617,0.511071839202346,elev,bio
1600,0.39795180274833786,0,0.43777791865211146,0.3565670485336287,0.5615580972985396,0,0.59370694433954,0.5276194071296861,elev,bio
100,0.09180340326582367,1.8667422653040333e-4,0.139414306643286,0.04376902952857478,0.0715575317742055,0.0036146207600336044,0.11937372404888084,0.02341016077862606,elev,sm
200,0.13838070242655484,1.6290313098465958e-8,0.18537172146892256,0.09075824754752941,0.11272334073260495,4.373489253417517e-6,0.16008123033649424,0.06484771991239714,elev,sm
300,0.16371368747179763,2.1672441619102756e-11,0.2102815478705015,0.11640461137923577,0.13686325102295854,2.3387746184155844e-8,0.1838776978357414,0.08922402723095858,elev,sm
400,0.1961783674534528,8.881784197001252e-16,0.24211579349673729,0.14936338096959356,0.1587452158500962,8.671330320453308e-11,0.20540083068778284,0.11136969962161168,elev,sm
500,0.22969534343496387,0,0.2748784607118684,0.1834999547958778,0.180137052694244,1.6253665080512292e-13,0.22639833815992022,0.1330649164323859,elev,sm
600,0.25857975908066233,0,0.3030288998058289,0.21300798313236402,0.20151354484030704,0,0.24733792117129189,0.15478972705809205,elev,sm
700,0.2859697202271934,0,0.3296513976311386,0.241066295353709,0.22526888980953116,0,0.27055763087401874,0.17898527883749726,elev,sm
800,0.3163578148377901,0,0.35910695380085644,0.2722839869788503,0.2559160092819109,0,0.30043608094989344,0.210283238905676,elev,sm
900,0.3481156358462621,0,0.3897994631059387,0.3050082508647103,0.2878519718158298,0,0.3314783613250235,0.24299723677826365,elev,sm
1000,0.38261073163839077,0,0.4230328323740163,0.34066879934478855,0.32067109268579846,0,0.36328097685457256,0.27672254978788036,elev,sm
1100,0.4178191674224804,0,0.45684167217168453,0.37719166319643965,0.3524736574309899,0,0.3940040819124586,0.3095068513039453,elev,sm
1200,0.4532836452046643,0,0.49078278615269005,0.4141083209467287,0.3822036288803446,0,0.42264125333340563,0.34024723731389495,elev,sm
1300,0.4857719413689042,0,0.5217759935376184,0.4480404204785506,0.4100153146839672,0,0.44935774811001244,0.36908555606902493,elev,sm
1400,0.5201700059596044,0,0.5544878185965777,0.48408603482135526,0.435254642700581,0,0.47354242365899485,0.39532495735690343,elev,sm
1500,0.5558794285106397,0,0.5883348946258266,0.5216358241560558,0.4562632447147601,0,0.4936292247448506,0.41721580749944787,elev,sm
1600,0.5833162641043272,0,0.6142637902143644,0.5505770863826487,0.4741301760692408,0,0.5106808904382744,0.43586877596722734,elev,sm
100,0.39927569195593676,0,0.43904937274719447,0.35794014489916787,0.32156452602571445,0,0.36414535177950913,0.2776421686052519,elev,tem
200,0.5017864553973008,0,0.5370186379543351,0.4648067274024397,0.3610376236742029,0,0.4022615346172157,0.3183526765206701,elev,tem
300,0.5372467511147969,0,0.5706881414418629,0.5020263035168422,0.3764011282445157,0,0.4170583730661286,0.3342404790613776,elev,tem
400,0.5620152711657546,0,0.594139308551026,0.5281012753146992,0.3883425955092733,0,0.42854452543747146,0.34660603555438046,elev,tem
500,0.5778548822357907,0,0.6091078899232866,0.5448099634410186,0.3993342792560451,0,0.43910563590684654,0.35800091394040895,elev,tem
600,0.5915797648455255,0,0.622060052649932,0.5593091431117738,0.4129219252906971,0,0.45214584408865166,0.37210401628967266,elev,tem
700,0.602095504267746,0,0.6319724748321384,0.5704315096656635,0.42699723854895494,0,0.4656364135413419,0.3867331863762614,elev,tem
800,0.6145826532768784,0,0.6437305189631238,0.583654111366468,0.44088988346792846,0,0.47893431685555915,0.4011923997115382,elev,tem
900,0.6280997190763399,0,0.6564428515729258,0.5979858000384645,0.45564396679117636,0,0.49303768879166837,0.4165698744479513,elev,tem
1000,0.6414454153603187,0,0.6689782444640169,0.6121547085145996,0.4712629378146818,0,0.5079464194234454,0.43287318074517933,elev,tem
1100,0.6538242772724779,0,0.680591521366247,0.6253139807034191,0.48922872560345193,0,0.5250681139563612,0.4516572368219999,elev,tem
1200,0.6637863850553994,0,0.6899277534945134,0.6359159253208091,0.5060757923304867,0,0.5410973343699377,0.4693019323718944,elev,tem
1300,0.6724296908736266,0,0.6980209981027972,0.6451228956564586,0.5236388053098013,0,0.557780696767951,0.4877277881072575,elev,tem
1400,0.6806027122948457,0,0.7056678778832767,0.6538362128580064,0.5393905799401999,0,0.5727201060001066,0.5042806833308335,elev,tem
